,workingday,temp,humidity,windspeed,casual,registered,count,time,month,season_2,season_3,season_4,weather_2,weather_3,weather_4
15668,0,14.76,66,30.0026,3.0,5.0,8.0,6.0,4.0,1,0,0,0,0,0
13110,0,32.8,43,8.9981,17.0,118.0,145.0,16.0,7.0,0,1,0,0,0,0
14927,1,9.02,75,0.0,2.0,6.0,8.0,1.0,1.0,0,0,0,0,0,0
1307,1,25.42,94,0.0,3.0,16.0,19.0,1.0,10.0,0,0,1,1,0,0
13481,0,9.84,87,35.0008,17.0,118.0,145.0,13.0,10.0,0,0,1,0,1,0
9122,1,21.32,83,7.0015,11.0,417.0,428.0,7.0,10.0,0,0,1,0,0,0
9059,1,17.22,47,8.9981,2.0,11.0,13.0,1.0,4.0,1,0,0,0,0,0
16084,1,13.94,42,0.0,17.0,118.0,145.0,21.0,3.0,1,0,0,0,0,0
12970,1,28.7,70,0.0,17.0,118.0,145.0,22.0,8.0,0,1,0,0,0,0
2842,1,6.56,55,15.0013,17.0,118.0,145.0,18.0,1.0,0,0,0,1,0,0
